"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 17:23:58 GMT 2021","Thu Aug 19 17:24:01 GMT 2021","2176","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[5] Advertising","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 17:25:51 GMT 2021","Thu Aug 19 17:25:57 GMT 2021","5297","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testRegistrationWithoutEmail","testRegistrationWithoutEmail()","Invalid Registration Test: empty email field"
"passed","Thu Aug 19 17:23:56 GMT 2021","Thu Aug 19 17:23:58 GMT 2021","2245","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[4] Communicate with you","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 17:24:01 GMT 2021","Thu Aug 19 17:24:03 GMT 2021","2417","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[6] Fraud Prevention","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 17:23:47 GMT 2021","Thu Aug 19 17:23:50 GMT 2021","2895","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[1] Provide, troubleshoot, and improve IMDb Services","Checking that Privacy Policy contains relevant expressions."
"broken","Thu Aug 19 17:25:38 GMT 2021","Thu Aug 19 17:25:51 GMT 2021","13033","","signinandout.SignOutTest","","signinandout.SignOutTest","testSuccessfulSignOut","testSuccessfulSignOut()",""
"passed","Thu Aug 19 17:24:31 GMT 2021","Thu Aug 19 17:24:39 GMT 2021","7606","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 1 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"broken","Thu Aug 19 17:25:01 GMT 2021","Thu Aug 19 17:25:13 GMT 2021","11763","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testModifyDescription","testModifyDescription()","Checking that user can overwrite data in the profile"
"skipped","Thu Aug 19 17:25:51 GMT 2021","Thu Aug 19 17:25:51 GMT 2021","0","","createaccount.CreateAccountTests","","createaccount.CreateAccountTests","testSuccessfullRegistration","testSuccessfullRegistration()","ValidRegistration Test with properly given data"
"passed","Thu Aug 19 17:24:39 GMT 2021","Thu Aug 19 17:24:43 GMT 2021","3776","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 2 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"broken","Thu Aug 19 17:23:31 GMT 2021","Thu Aug 19 17:23:46 GMT 2021","15706","","lists.ListTests","","lists.ListTests","testCreateNewPeopleList","testCreateNewPeopleList()","Checking that user can create a list contains her/his favourite actors"
"broken","Thu Aug 19 17:23:15 GMT 2021","Thu Aug 19 17:23:31 GMT 2021","16001","","lists.ListTests","","lists.ListTests","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes","testCreateNewPeopleListUsingOnlyOneNameMultipleTimes()","Checking that user can not create a list that  contains the same name multiple times"
"passed","Thu Aug 19 17:23:50 GMT 2021","Thu Aug 19 17:23:52 GMT 2021","2750","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[2] Recommendations and personalization","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 17:24:43 GMT 2021","Thu Aug 19 17:24:47 GMT 2021","3953","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testSaveSearchResultTitlesToFile","repetition 3 of 3","A felhasználó képes több oldalas találati lista címeit fájlba menteni"
"broken","Thu Aug 19 17:24:47 GMT 2021","Thu Aug 19 17:25:01 GMT 2021","13896","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testWriteDescription","testWriteDescription()","Checking that user can write data in the profile"
"broken","Thu Aug 19 17:25:25 GMT 2021","Thu Aug 19 17:25:38 GMT 2021","13203","","signinandout.SignInTests","","signinandout.SignInTests","testSuccessfulLogIn","testSuccessfulLogIn()","Valid Login Test with Valid Username and Valid Password."
"broken","Thu Aug 19 17:25:13 GMT 2021","Thu Aug 19 17:25:24 GMT 2021","11759","","editprofile.EditProfileTests","","editprofile.EditProfileTests","testDeleteDescription","testDeleteDescription()","Checking that user can delete data from the profile"
"skipped","Thu Aug 19 17:25:25 GMT 2021","Thu Aug 19 17:25:25 GMT 2021","0","","signinandout.SignInTests","","signinandout.SignInTests","testLoginWithInvalidPassword","testLoginWithInvalidPassword()","Invalid Login Test with valid Username and Invalid Password."
"passed","Thu Aug 19 17:23:52 GMT 2021","Thu Aug 19 17:23:56 GMT 2021","3728","","privacypolicy.PrivacyPolicyTests","","privacypolicy.PrivacyPolicyTests","testRelevantContentOfPrivacyPolicy","[3] Comply with legal obligations","Checking that Privacy Policy contains relevant expressions."
"passed","Thu Aug 19 17:24:03 GMT 2021","Thu Aug 19 17:24:31 GMT 2021","28182","","searching.AdvancedSearchTest","","searching.AdvancedSearchTest","testCrawlingThroughSearchResultList","testCrawlingThroughSearchResultList()","Valid Login Test with Valid Username and Valid Password."
