"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Felhasználói profil beállítása, szerkesztése","A felhasználó beállítja, szerkeszti a profil adatait","A felhasználó adatokat módosít és ment el a profiljában","0","1","0","0","0"
"Bejelentkezés","Sikeres bejelentkezés","A felhasználó érvényes adatokkal jelentkezik be az alkalmazásba","1","0","0","0","0"
"Adatvkezelési házirend/nyilatkozat (Privacy Policy) használata","Az adatkezelési nyilatkozat releváns elemeket tartalmaz","A felhasználó releváns szöveget szeretne találni az adatkezelési nyilatkozatban.","0","0","6","0","0"
"Összetett keresési funkció tesztelése","Találati lista bejárása, mentése","Az összetett keresés eredményeként kapott lista első 50 elemének címét fájlba mentése","0","0","3","0","0"
"Felhasználói profil beállítása, szerkesztése","A felhasználó beállítja, szerkeszti a profil adatait","A felhasználó adatokat töröl a profiljából","0","1","0","0","0"
"Kijelentkezés","Sikeres kijelentkezés","A felhasználó sikeresen kijelentkezik az alkalmazásból","0","1","0","0","0"
"Összetett keresési funkció tesztelése","Találati lista bejárása, mentése","A felhasználó szeretné végiglapozni az összetett keresés eredményeként kapott találati listát","0","0","1","0","0"
"Egyedi lista létrehozása","A felhasználó egyedi - pl. színészek adatait tartalmazó - listát állít össze","A felhasználó listát állít össze a kedvenc színészeinek nevéből, de többször ugyanazt a nevet adja meg","0","1","0","0","0"
"Regisztráció","Sikertelen regisztráció","A felhasználó email cím megadsa nélkül próbál regisztrálni","0","0","1","0","0"
"Egyedi lista létrehozása","A felhasználó egyedi - pl. színészek adatait tartalmazó - listát állít össze","A felhasználó összeállítja kedvenc színészeinek adatainak listáját","0","1","0","0","0"
"Bejelentkezés","Érvénytelen bejelentkezés","A felhasználó érvényes felhasználónévvel és érvénytelen jelszóval próbál bejelentkezni","0","0","0","1","0"
"Felhasználói profil beállítása, szerkesztése","A felhasználó beállítja, szerkeszti a profil adatait","A felhasználó adatokat ad meg és ment el a profiljába","0","1","0","0","0"
"Regisztráció","Sikeres regisztráció","A felhasználó érvényes adatokkal kísérli meg a regisztrációt","0","0","0","1","0"
